,value,year,country,var,full_name,freq,unit,base,quarter,month
1959Q3,0.3099705728487834,1959,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1959Q4,-0.46558065493726986,1959,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1960Q1,0.6905135150114816,1960,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1960Q2,-0.8776756978221556,1960,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1960Q3,-1.3890539873742114,1960,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1960Q4,-3.6351666569442997,1960,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1961Q1,-3.892564084295458,1961,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1961Q2,-3.0778775745009312,1961,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1961Q3,-2.067364324095955,1961,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1961Q4,-1.0335199898106495,1961,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1962Q1,-0.2364733823339904,1962,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1962Q2,-0.37978366714366274,1962,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1962Q3,-0.25353225327258144,1962,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1962Q4,-1.0393802772389549,1962,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1963Q1,-1.0547581335925926,1963,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1963Q2,-1.0202092073706481,1963,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1963Q3,0.08967590395254632,1963,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1963Q4,-0.322739644969694,1963,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1964Q1,0.7024143431122454,1964,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1964Q2,0.6979434421957365,1964,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1964Q3,1.1489173031113964,1964,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1964Q4,0.36549645291970023,1964,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1965Q1,1.6472114243233804,1965,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1965Q2,1.833654983198052,1965,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1965Q3,2.945379334487619,1965,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1965Q4,4.145300174283406,1965,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1966Q1,5.476707763562949,1966,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1966Q2,4.749102497893176,1966,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1966Q3,4.519695852139627,1966,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1966Q4,4.269754394985448,1966,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1967Q1,4.057822781469156,1967,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1967Q2,3.002947313500748,1967,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1967Q3,2.813254411262278,1967,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1967Q4,2.415432751328339,1967,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1968Q1,3.293428911214491,1968,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1968Q2,3.838613655404899,1968,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1968Q3,3.4998854257935363,1968,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1968Q4,2.786507500083779,1968,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1969Q1,3.284573048878414,1969,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1969Q2,2.5822045598861365,1969,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1969Q3,2.2920342049969733,1969,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1969Q4,0.9047432859702553,1969,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1970Q1,-0.09736457187887737,1970,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1970Q2,-0.7639597351438709,1970,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1970Q3,-0.6294618558257525,1970,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1970Q4,-2.482580369924392,1970,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1971Q1,-0.6042491119265136,1971,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1971Q2,-0.9113030924918775,1971,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1971Q3,-0.958437720142058,1971,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1971Q4,-1.5838024995204592,1971,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1972Q1,-0.5947546557424133,1972,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1972Q2,0.8629005156517877,1972,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1972Q3,1.0450278300648819,1972,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1972Q4,1.954193918686542,1972,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1973Q1,3.6285452875002733,1973,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1973Q2,3.8869055827726484,1973,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1973Q3,2.5142118804822644,1973,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1973Q4,2.5916119184014264,1973,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1974Q1,0.8552476850846702,1974,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1974Q2,0.2260886152278374,1974,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1974Q3,-1.5703369414259427,1974,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1974Q4,-2.7879775363949477,1974,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1975Q1,-4.818133754596765,1975,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1975Q2,-4.896088425451239,1975,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1975Q3,-3.9803399527212235,1975,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1975Q4,-3.417668370897786,1975,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1976Q1,-1.953824073115662,1976,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1976Q2,-1.980395776969246,1976,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1976Q3,-2.2003135486489356,1976,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1976Q4,-2.2492983006278777,1976,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1977Q1,-1.8690779928887125,1977,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1977Q2,-0.7570064186849024,1977,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1977Q3,0.20739047407047906,1977,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1977Q4,-0.6314498244465838,1977,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1978Q1,-1.167153023617118,1978,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1978Q2,1.7640234128807109,1978,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1978Q3,1.8900016292400679,1978,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1978Q4,2.340030987066477,1978,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1979Q1,1.6121403123861455,1979,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1979Q2,0.8432165119975465,1979,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1979Q3,0.7564672086695978,1979,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1979Q4,0.24169773502222824,1979,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1980Q1,-0.1328792560371994,1980,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1980Q2,-2.8160926943764153,1980,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1980Q3,-3.4529578932255944,1980,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1980Q4,-2.144614958261215,1980,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1981Q1,-0.7988692510911832,1981,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1981Q2,-2.1819788588073763,1981,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1981Q3,-1.6655646692502302,1981,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1981Q4,-3.466719962850462,1981,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1982Q1,-5.75655917691833,1982,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1982Q2,-6.035482464395692,1982,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1982Q3,-7.163318177690847,1982,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1982Q4,-7.883380001254103,1982,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1983Q1,-7.337905524991761,1983,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1983Q2,-5.8771974826639095,1983,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1983Q3,-4.7099347952563875,1983,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1983Q4,-3.4808129486679107,1983,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1984Q1,-2.658797439559457,1984,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1984Q2,-1.7883092655873511,1984,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1984Q3,-1.6750024460149504,1984,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1984Q4,-1.7124079805903136,1984,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1985Q1,-1.6121778732840042,1985,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1985Q2,-1.6156080897326675,1985,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1985Q3,-0.9861832538827997,1985,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1985Q4,-1.1254842885902505,1985,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1986Q1,-1.0596908072857403,1986,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1986Q2,-1.4543722941937176,1986,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1986Q3,-1.3298100264556467,1986,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1986Q4,-1.610466004679445,1986,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1987Q1,-1.672030753278797,1987,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1987Q2,-1.3940383094334763,1987,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1987Q3,-1.314265527277847,1987,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1987Q4,-0.3870748842578209,1987,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1988Q1,-0.6268968452426193,1988,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1988Q2,-0.0629906907791522,1988,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1988Q3,-0.2143795727954867,1988,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1988Q4,0.3621238861107656,1988,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1989Q1,0.6022113191553657,1989,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1989Q2,0.5590984203259097,1989,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1989Q3,0.48050426402674873,1989,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1989Q4,-0.12908431266058784,1989,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1990Q1,0.19209906239634478,1990,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1990Q2,-0.15535600037530628,1990,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1990Q3,-0.74366384542639,1990,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1990Q4,-2.2750428261717914,1990,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1991Q1,-3.341542437708611,1991,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1991Q2,-3.155849875250105,1991,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1991Q3,-3.242160505983449,1991,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1991Q4,-3.4895384931401097,1991,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1992Q1,-2.9009683243435447,1992,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1992Q2,-2.4320373716584243,1992,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1992Q3,-2.0719180917296853,1992,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1992Q4,-1.663312949082929,1992,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1993Q1,-2.1298101616809006,1993,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1993Q2,-2.191562955325921,1993,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1993Q3,-2.3600408439266474,1993,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1993Q4,-1.6539228555688013,1993,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1994Q1,-1.3303970782775565,1994,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1994Q2,-0.6226837632626214,1994,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1994Q3,-0.6796941391245426,1994,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1994Q4,-0.1784952198141454,1994,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1995Q1,-0.4570712027492263,1995,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1995Q2,-0.792696730324316,1995,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1995Q3,-0.5817359803627298,1995,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1995Q4,-0.5640434937784988,1995,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1996Q1,-0.5034584955236454,1996,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1996Q2,0.4010455374649169,1996,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1996Q3,0.48236276720086124,1996,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1996Q4,0.6579983887720076,1996,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1997Q1,0.41480148821602114,1997,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1997Q2,1.1648923291787128,1997,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1997Q3,1.4938745355411953,1997,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1997Q4,1.4255607165457818,1997,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1998Q1,1.4881457807783605,1998,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1998Q2,1.4563041858234982,1998,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1998Q3,1.7208985256047526,1998,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1998Q4,2.293886612850926,1998,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1999Q1,2.1282421646674266,1999,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1999Q2,1.7777950233881512,1999,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1999Q3,1.86660416827511,1999,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1999Q4,2.268114136592736,1999,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
2000Q1,1.4534488545850266,2000,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
2000Q2,2.1916867051219313,2000,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
2000Q3,1.3396888143164531,2000,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
2000Q4,1.070382943041892,2000,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
2001Q1,-0.052868341602518854,2001,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
2001Q2,-0.1917964504531966,2001,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
2001Q3,-1.3212950666000367,2001,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
2001Q4,-1.7534250404525054,2001,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
2002Q1,-1.6270898224203023,2002,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
2002Q2,-1.715069886073728,2002,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
2002Q3,-2.0112132275501793,2002,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
2002Q4,-2.559647525477615,2002,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
2003Q1,-2.6906386195907572,2003,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
2003Q2,-2.4091143196733,2003,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
2003Q3,-1.3321758457529143,2003,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
2003Q4,-0.755298936519111,2003,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
2004Q1,-0.772132085580779,2004,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
2004Q2,-0.6116760816786027,2004,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
2004Q3,-0.31752454699987,2004,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
2004Q4,0.04656451122340144,2004,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
2005Q1,0.5174267227500806,2005,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
2005Q2,0.3994073763744055,2005,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
2005Q3,0.5956442846301258,2005,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
2005Q4,0.5873519036304842,2005,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
2006Q1,1.355926486854031,2006,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
2006Q2,1.0248895335484676,2006,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
2006Q3,0.6151814396666566,2006,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
2006Q4,0.9251673792073589,2006,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
2007Q1,0.7056619574324685,2007,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
2007Q2,0.8541289445243905,2007,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
2007Q3,0.9832267063794475,2007,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
2007Q4,1.1303779693481175,2007,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
2008Q1,0.2644331954137158,2008,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
2008Q2,0.3836459557879479,2008,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
2008Q3,-0.5864029706941665,2008,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
2008Q4,-3.217136146440147,2008,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
2009Q1,-4.783965585069971,2009,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
2009Q2,-5.322710196037939,2009,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
2009Q3,-5.305470423295411,2009,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
2009Q4,-4.566379185122926,2009,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
2010Q1,-4.376032457731505,2010,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
2010Q2,-3.7117455481055828,2010,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
2010Q3,-3.2546360829842413,2010,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
2010Q4,-3.0801799758574333,2010,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
2011Q1,-3.7171443452429287,2011,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
2011Q2,-3.5023547873420213,2011,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
2011Q3,-4.046138059648108,2011,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
2011Q4,-3.44879343831348,2011,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
2012Q1,-3.1378361541836597,2012,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
2012Q2,-3.1539119931023762,2012,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
2012Q3,-3.421479549530737,2012,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
