date,value,freq,unit,var,base,year,quarter,month,country
1955Q3,430.221,q,beur,nominal_gdp,,1955,3,9,US
1955Q4,437.092,q,beur,nominal_gdp,,1955,4,12,US
1956Q1,439.746,q,beur,nominal_gdp,,1956,1,3,US
1956Q2,446.01,q,beur,nominal_gdp,,1956,2,6,US
1956Q3,451.191,q,beur,nominal_gdp,,1956,3,9,US
1956Q4,460.463,q,beur,nominal_gdp,,1956,4,12,US
1957Q1,469.779,q,beur,nominal_gdp,,1957,1,3,US
1957Q2,472.025,q,beur,nominal_gdp,,1957,2,6,US
1957Q3,479.49,q,beur,nominal_gdp,,1957,3,9,US
1957Q4,474.864,q,beur,nominal_gdp,,1957,4,12,US
1958Q1,467.54,q,beur,nominal_gdp,,1958,1,3,US
1958Q2,471.978,q,beur,nominal_gdp,,1958,2,6,US
1958Q3,485.841,q,beur,nominal_gdp,,1958,3,9,US
1958Q4,499.555,q,beur,nominal_gdp,,1958,4,12,US
1959Q1,510.33,q,beur,nominal_gdp,,1959,1,3,US
1959Q2,522.653,q,beur,nominal_gdp,,1959,2,6,US
1959Q3,525.034,q,beur,nominal_gdp,,1959,3,9,US
1959Q4,528.6,q,beur,nominal_gdp,,1959,4,12,US
1960Q1,542.648,q,beur,nominal_gdp,,1960,1,3,US
1960Q2,541.08,q,beur,nominal_gdp,,1960,2,6,US
1960Q3,545.604,q,beur,nominal_gdp,,1960,3,9,US
1960Q4,540.197,q,beur,nominal_gdp,,1960,4,12,US
1961Q1,545.018,q,beur,nominal_gdp,,1961,1,3,US
1961Q2,555.545,q,beur,nominal_gdp,,1961,2,6,US
1961Q3,567.664,q,beur,nominal_gdp,,1961,3,9,US
1961Q4,580.612,q,beur,nominal_gdp,,1961,4,12,US
1962Q1,594.013,q,beur,nominal_gdp,,1962,1,3,US
1962Q2,600.366,q,beur,nominal_gdp,,1962,2,6,US
1962Q3,609.027,q,beur,nominal_gdp,,1962,3,9,US
1962Q4,612.28,q,beur,nominal_gdp,,1962,4,12,US
1963Q1,621.672,q,beur,nominal_gdp,,1963,1,3,US
1963Q2,629.752,q,beur,nominal_gdp,,1963,2,6,US
1963Q3,644.444,q,beur,nominal_gdp,,1963,3,9,US
1963Q4,653.938,q,beur,nominal_gdp,,1963,4,12,US
1964Q1,669.822,q,beur,nominal_gdp,,1964,1,3,US
1964Q2,678.674,q,beur,nominal_gdp,,1964,2,6,US
1964Q3,692.031,q,beur,nominal_gdp,,1964,3,9,US
1964Q4,697.319,q,beur,nominal_gdp,,1964,4,12,US
1965Q1,717.79,q,beur,nominal_gdp,,1965,1,3,US
1965Q2,730.191,q,beur,nominal_gdp,,1965,2,6,US
1965Q3,749.323,q,beur,nominal_gdp,,1965,3,9,US
1965Q4,771.857,q,beur,nominal_gdp,,1965,4,12,US
1966Q1,795.734,q,beur,nominal_gdp,,1966,1,3,US
1966Q2,804.981,q,beur,nominal_gdp,,1966,2,6,US
1966Q3,819.638,q,beur,nominal_gdp,,1966,3,9,US
1966Q4,833.302,q,beur,nominal_gdp,,1966,4,12,US
1967Q1,844.17,q,beur,nominal_gdp,,1967,1,3,US
1967Q2,848.983,q,beur,nominal_gdp,,1967,2,6,US
1967Q3,865.233,q,beur,nominal_gdp,,1967,3,9,US
1967Q4,881.439,q,beur,nominal_gdp,,1967,4,12,US
1968Q1,909.387,q,beur,nominal_gdp,,1968,1,3,US
1968Q2,934.344,q,beur,nominal_gdp,,1968,2,6,US
1968Q3,950.825,q,beur,nominal_gdp,,1968,3,9,US
1968Q4,968.03,q,beur,nominal_gdp,,1968,4,12,US
1969Q1,993.337,q,beur,nominal_gdp,,1969,1,3,US
1969Q2,1009.02,q,beur,nominal_gdp,,1969,2,6,US
1969Q3,1029.956,q,beur,nominal_gdp,,1969,3,9,US
1969Q4,1038.147,q,beur,nominal_gdp,,1969,4,12,US
1970Q1,1051.2,q,beur,nominal_gdp,,1970,1,3,US
1970Q2,1067.375,q,beur,nominal_gdp,,1970,2,6,US
1970Q3,1086.059,q,beur,nominal_gdp,,1970,3,9,US
1970Q4,1088.608,q,beur,nominal_gdp,,1970,4,12,US
1971Q1,1135.156,q,beur,nominal_gdp,,1971,1,3,US
1971Q2,1156.271,q,beur,nominal_gdp,,1971,2,6,US
1971Q3,1177.675,q,beur,nominal_gdp,,1971,3,9,US
1971Q4,1190.297,q,beur,nominal_gdp,,1971,4,12,US
1972Q1,1230.609,q,beur,nominal_gdp,,1972,1,3,US
1972Q2,1266.369,q,beur,nominal_gdp,,1972,2,6,US
1972Q3,1290.566,q,beur,nominal_gdp,,1972,3,9,US
1972Q4,1328.904,q,beur,nominal_gdp,,1972,4,12,US
1973Q1,1377.49,q,beur,nominal_gdp,,1973,1,3,US
1973Q2,1413.887,q,beur,nominal_gdp,,1973,2,6,US
1973Q3,1433.838,q,beur,nominal_gdp,,1973,3,9,US
1973Q4,1476.289,q,beur,nominal_gdp,,1973,4,12,US
1974Q1,1491.209,q,beur,nominal_gdp,,1974,1,3,US
1974Q2,1530.056,q,beur,nominal_gdp,,1974,2,6,US
1974Q3,1560.026,q,beur,nominal_gdp,,1974,3,9,US
1974Q4,1599.679,q,beur,nominal_gdp,,1974,4,12,US
1975Q1,1616.116,q,beur,nominal_gdp,,1975,1,3,US
1975Q2,1651.853,q,beur,nominal_gdp,,1975,2,6,US
1975Q3,1709.82,q,beur,nominal_gdp,,1975,3,9,US
1975Q4,1761.831,q,beur,nominal_gdp,,1975,4,12,US
1976Q1,1820.487,q,beur,nominal_gdp,,1976,1,3,US
1976Q2,1852.332,q,beur,nominal_gdp,,1976,2,6,US
1976Q3,1886.558,q,beur,nominal_gdp,,1976,3,9,US
1976Q4,1934.273,q,beur,nominal_gdp,,1976,4,12,US
1977Q1,1988.648,q,beur,nominal_gdp,,1977,1,3,US
1977Q2,2055.909,q,beur,nominal_gdp,,1977,2,6,US
1977Q3,2118.473,q,beur,nominal_gdp,,1977,3,9,US
1977Q4,2164.27,q,beur,nominal_gdp,,1977,4,12,US
1978Q1,2202.76,q,beur,nominal_gdp,,1978,1,3,US
1978Q2,2331.633,q,beur,nominal_gdp,,1978,2,6,US
1978Q3,2395.053,q,beur,nominal_gdp,,1978,3,9,US
1978Q4,2476.949,q,beur,nominal_gdp,,1978,4,12,US
1979Q1,2526.61,q,beur,nominal_gdp,,1979,1,3,US
1979Q2,2591.247,q,beur,nominal_gdp,,1979,2,6,US
1979Q3,2667.565,q,beur,nominal_gdp,,1979,3,9,US
1979Q4,2723.883,q,beur,nominal_gdp,,1979,4,12,US
1980Q1,2789.842,q,beur,nominal_gdp,,1980,1,3,US
1980Q2,2797.352,q,beur,nominal_gdp,,1980,2,6,US
1980Q3,2856.483,q,beur,nominal_gdp,,1980,3,9,US
1980Q4,2985.557,q,beur,nominal_gdp,,1980,4,12,US
1981Q1,3124.206,q,beur,nominal_gdp,,1981,1,3,US
1981Q2,3162.532,q,beur,nominal_gdp,,1981,2,6,US
1981Q3,3260.609,q,beur,nominal_gdp,,1981,3,9,US
1981Q4,3280.818,q,beur,nominal_gdp,,1981,4,12,US
1982Q1,3274.302,q,beur,nominal_gdp,,1982,1,3,US
1982Q2,3331.972,q,beur,nominal_gdp,,1982,2,6,US
1982Q3,3366.322,q,beur,nominal_gdp,,1982,3,9,US
1982Q4,3402.561,q,beur,nominal_gdp,,1982,4,12,US
1983Q1,3473.413,q,beur,nominal_gdp,,1983,1,3,US
1983Q2,3578.848,q,beur,nominal_gdp,,1983,2,6,US
1983Q3,3689.179,q,beur,nominal_gdp,,1983,3,9,US
1983Q4,3794.706,q,beur,nominal_gdp,,1983,4,12,US
1984Q1,3908.054,q,beur,nominal_gdp,,1984,1,3,US
1984Q2,4009.601,q,beur,nominal_gdp,,1984,2,6,US
1984Q3,4084.25,q,beur,nominal_gdp,,1984,3,9,US
1984Q4,4148.551,q,beur,nominal_gdp,,1984,4,12,US
1985Q1,4230.168,q,beur,nominal_gdp,,1985,1,3,US
1985Q2,4294.887,q,beur,nominal_gdp,,1985,2,6,US
1985Q3,4386.773,q,beur,nominal_gdp,,1985,3,9,US
1985Q4,4444.094,q,beur,nominal_gdp,,1985,4,12,US
1986Q1,4507.894,q,beur,nominal_gdp,,1986,1,3,US
1986Q2,4545.34,q,beur,nominal_gdp,,1986,2,6,US
1986Q3,4607.669,q,beur,nominal_gdp,,1986,3,9,US
1986Q4,4657.627,q,beur,nominal_gdp,,1986,4,12,US
1987Q1,4722.156,q,beur,nominal_gdp,,1987,1,3,US
1987Q2,4806.16,q,beur,nominal_gdp,,1987,2,6,US
1987Q3,4884.555,q,beur,nominal_gdp,,1987,3,9,US
1987Q4,5007.994,q,beur,nominal_gdp,,1987,4,12,US
1988Q1,5073.372,q,beur,nominal_gdp,,1988,1,3,US
1988Q2,5190.036,q,beur,nominal_gdp,,1988,2,6,US
1988Q3,5282.835,q,beur,nominal_gdp,,1988,3,9,US
1988Q4,5399.509,q,beur,nominal_gdp,,1988,4,12,US
1989Q1,5511.253,q,beur,nominal_gdp,,1989,1,3,US
1989Q2,5612.463,q,beur,nominal_gdp,,1989,2,6,US
1989Q3,5695.365,q,beur,nominal_gdp,,1989,3,9,US
1989Q4,5747.237,q,beur,nominal_gdp,,1989,4,12,US
1990Q1,5872.701,q,beur,nominal_gdp,,1990,1,3,US
1990Q2,5960.028,q,beur,nominal_gdp,,1990,2,6,US
1990Q3,6015.116,q,beur,nominal_gdp,,1990,3,9,US
1990Q4,6004.733,q,beur,nominal_gdp,,1990,4,12,US
1991Q1,6035.178,q,beur,nominal_gdp,,1991,1,3,US
1991Q2,6126.862,q,beur,nominal_gdp,,1991,2,6,US
1991Q3,6205.937,q,beur,nominal_gdp,,1991,3,9,US
1991Q4,6264.54,q,beur,nominal_gdp,,1991,4,12,US
1992Q1,6363.102,q,beur,nominal_gdp,,1992,1,3,US
1992Q2,6470.763,q,beur,nominal_gdp,,1992,2,6,US
1992Q3,6566.641,q,beur,nominal_gdp,,1992,3,9,US
1992Q4,6680.803,q,beur,nominal_gdp,,1992,4,12,US
1993Q1,6729.459,q,beur,nominal_gdp,,1993,1,3,US
1993Q2,6808.939,q,beur,nominal_gdp,,1993,2,6,US
1993Q3,6882.098,q,beur,nominal_gdp,,1993,3,9,US
1993Q4,7013.738,q,beur,nominal_gdp,,1993,4,12,US
1994Q1,7115.652,q,beur,nominal_gdp,,1994,1,3,US
1994Q2,7246.931,q,beur,nominal_gdp,,1994,2,6,US
1994Q3,7331.075,q,beur,nominal_gdp,,1994,3,9,US
1994Q4,7455.288,q,beur,nominal_gdp,,1994,4,12,US
1995Q1,7522.289,q,beur,nominal_gdp,,1995,1,3,US
1995Q2,7580.997,q,beur,nominal_gdp,,1995,2,6,US
1995Q3,7683.125,q,beur,nominal_gdp,,1995,3,9,US
1995Q4,7772.586,q,beur,nominal_gdp,,1995,4,12,US
1996Q1,7868.468,q,beur,nominal_gdp,,1996,1,3,US
1996Q2,8032.84,q,beur,nominal_gdp,,1996,2,6,US
1996Q3,8131.408,q,beur,nominal_gdp,,1996,3,9,US
1996Q4,8259.771,q,beur,nominal_gdp,,1996,4,12,US
1997Q1,8362.655,q,beur,nominal_gdp,,1997,1,3,US
1997Q2,8518.825,q,beur,nominal_gdp,,1997,2,6,US
1997Q3,8662.823,q,beur,nominal_gdp,,1997,3,9,US
1997Q4,8765.907,q,beur,nominal_gdp,,1997,4,12,US
1998Q1,8866.48,q,beur,nominal_gdp,,1998,1,3,US
1998Q2,8969.699,q,beur,nominal_gdp,,1998,2,6,US
1998Q3,9121.097,q,beur,nominal_gdp,,1998,3,9,US
1998Q4,9293.991,q,beur,nominal_gdp,,1998,4,12,US
1999Q1,9411.682,q,beur,nominal_gdp,,1999,1,3,US
1999Q2,9526.21,q,beur,nominal_gdp,,1999,2,6,US
1999Q3,9686.626,q,beur,nominal_gdp,,1999,3,9,US
1999Q4,9900.169,q,beur,nominal_gdp,,1999,4,12,US
2000Q1,10002.179,q,beur,nominal_gdp,,2000,1,3,US
2000Q2,10247.72,q,beur,nominal_gdp,,2000,2,6,US
2000Q3,10318.165,q,beur,nominal_gdp,,2000,3,9,US
2000Q4,10435.744,q,beur,nominal_gdp,,2000,4,12,US
2001Q1,10470.231,q,beur,nominal_gdp,,2001,1,3,US
2001Q2,10599.0,q,beur,nominal_gdp,,2001,2,6,US
2001Q3,10598.02,q,beur,nominal_gdp,,2001,3,9,US
2001Q4,10660.465,q,beur,nominal_gdp,,2001,4,12,US
2002Q1,10783.5,q,beur,nominal_gdp,,2002,1,3,US
2002Q2,10887.46,q,beur,nominal_gdp,,2002,2,6,US
2002Q3,10984.04,q,beur,nominal_gdp,,2002,3,9,US
2002Q4,11061.433,q,beur,nominal_gdp,,2002,4,12,US
2003Q1,11174.129,q,beur,nominal_gdp,,2003,1,3,US
2003Q2,11312.766,q,beur,nominal_gdp,,2003,2,6,US
2003Q3,11566.669,q,beur,nominal_gdp,,2003,3,9,US
2003Q4,11772.234,q,beur,nominal_gdp,,2003,4,12,US
2004Q1,11923.447,q,beur,nominal_gdp,,2004,1,3,US
2004Q2,12112.815,q,beur,nominal_gdp,,2004,2,6,US
2004Q3,12305.307,q,beur,nominal_gdp,,2004,3,9,US
2004Q4,12527.214,q,beur,nominal_gdp,,2004,4,12,US
2005Q1,12767.286,q,beur,nominal_gdp,,2005,1,3,US
2005Q2,12922.656,q,beur,nominal_gdp,,2005,2,6,US
2005Q3,13142.642,q,beur,nominal_gdp,,2005,3,9,US
2005Q4,13324.204,q,beur,nominal_gdp,,2005,4,12,US
2006Q1,13599.16,q,beur,nominal_gdp,,2006,1,3,US
2006Q2,13753.424,q,beur,nominal_gdp,,2006,2,6,US
2006Q3,13870.188,q,beur,nominal_gdp,,2006,3,9,US
2006Q4,14039.56,q,beur,nominal_gdp,,2006,4,12,US
2007Q1,14215.651,q,beur,nominal_gdp,,2007,1,3,US
2007Q2,14402.082,q,beur,nominal_gdp,,2007,2,6,US
2007Q3,14564.117,q,beur,nominal_gdp,,2007,3,9,US
2007Q4,14715.058,q,beur,nominal_gdp,,2007,4,12,US
2008Q1,14706.538,q,beur,nominal_gdp,,2008,1,3,US
2008Q2,14865.701,q,beur,nominal_gdp,,2008,2,6,US
2008Q3,14898.999,q,beur,nominal_gdp,,2008,3,9,US
2008Q4,14608.208,q,beur,nominal_gdp,,2008,4,12,US
2009Q1,14430.901,q,beur,nominal_gdp,,2009,1,3,US
2009Q2,14381.236,q,beur,nominal_gdp,,2009,2,6,US
2009Q3,14448.882,q,beur,nominal_gdp,,2009,3,9,US
2009Q4,14651.248,q,beur,nominal_gdp,,2009,4,12,US
2010Q1,14764.611,q,beur,nominal_gdp,,2010,1,3,US
2010Q2,14980.193,q,beur,nominal_gdp,,2010,2,6,US
2010Q3,15141.605,q,beur,nominal_gdp,,2010,3,9,US
2010Q4,15309.471,q,beur,nominal_gdp,,2010,4,12,US
2011Q1,15351.444,q,beur,nominal_gdp,,2011,1,3,US
2011Q2,15557.535,q,beur,nominal_gdp,,2011,2,6,US
2011Q3,15647.681,q,beur,nominal_gdp,,2011,3,9,US
2011Q4,15842.267,q,beur,nominal_gdp,,2011,4,12,US
2012Q1,16068.824,q,beur,nominal_gdp,,2012,1,3,US
2012Q2,16207.13,q,beur,nominal_gdp,,2012,2,6,US
2012Q3,16319.54,q,beur,nominal_gdp,,2012,3,9,US
2012Q4,16420.386,q,beur,nominal_gdp,,2012,4,12,US
2013Q1,16629.05,q,beur,nominal_gdp,,2013,1,3,US
2013Q2,16699.551,q,beur,nominal_gdp,,2013,2,6,US
2013Q3,16911.068,q,beur,nominal_gdp,,2013,3,9,US
2013Q4,17133.114,q,beur,nominal_gdp,,2013,4,12,US
2014Q1,17144.281,q,beur,nominal_gdp,,2014,1,3,US
2014Q2,17462.703,q,beur,nominal_gdp,,2014,2,6,US
2014Q3,17743.227,q,beur,nominal_gdp,,2014,3,9,US
2014Q4,17852.54,q,beur,nominal_gdp,,2014,4,12,US
2015Q1,17991.348,q,beur,nominal_gdp,,2015,1,3,US
2015Q2,18193.707,q,beur,nominal_gdp,,2015,2,6,US
2015Q3,18306.96,q,beur,nominal_gdp,,2015,3,9,US
2015Q4,18332.079,q,beur,nominal_gdp,,2015,4,12,US
2016Q1,18425.306,q,beur,nominal_gdp,,2016,1,3,US
2016Q2,18611.617,q,beur,nominal_gdp,,2016,2,6,US
2016Q3,18775.459,q,beur,nominal_gdp,,2016,3,9,US
2016Q4,18968.041,q,beur,nominal_gdp,,2016,4,12,US
2017Q1,19148.194,q,beur,nominal_gdp,,2017,1,3,US
2017Q2,19304.506,q,beur,nominal_gdp,,2017,2,6,US
2017Q3,19561.896,q,beur,nominal_gdp,,2017,3,9,US
2017Q4,19894.75,q,beur,nominal_gdp,,2017,4,12,US
2018Q1,20155.486,q,beur,nominal_gdp,,2018,1,3,US
2018Q2,20470.197,q,beur,nominal_gdp,,2018,2,6,US
2018Q3,20687.278,q,beur,nominal_gdp,,2018,3,9,US
2018Q4,20819.269,q,beur,nominal_gdp,,2018,4,12,US
2019Q1,21013.085,q,beur,nominal_gdp,,2019,1,3,US
2019Q2,21272.448,q,beur,nominal_gdp,,2019,2,6,US
2019Q3,21531.839,q,beur,nominal_gdp,,2019,3,9,US
2019Q4,21706.532,q,beur,nominal_gdp,,2019,4,12,US
2020Q1,21538.032,q,beur,nominal_gdp,,2020,1,3,US
2020Q2,19636.731,q,beur,nominal_gdp,,2020,2,6,US
2020Q3,21362.428,q,beur,nominal_gdp,,2020,3,9,US
2020Q4,21704.706,q,beur,nominal_gdp,,2020,4,12,US
2021Q1,22313.85,q,beur,nominal_gdp,,2021,1,3,US
2021Q2,23046.934,q,beur,nominal_gdp,,2021,2,6,US
2021Q3,23550.42,q,beur,nominal_gdp,,2021,3,9,US
2021Q4,24349.121,q,beur,nominal_gdp,,2021,4,12,US
2022Q1,24740.48,q,beur,nominal_gdp,,2022,1,3,US
2022Q2,25248.476,q,beur,nominal_gdp,,2022,2,6,US
2022Q3,25723.941,q,beur,nominal_gdp,,2022,3,9,US
2022Q4,26137.992,q,beur,nominal_gdp,,2022,4,12,US
2023Q1,26529.774,q,beur,nominal_gdp,,2023,1,3,US
2023Q2,26798.605,q,beur,nominal_gdp,,2023,2,6,US
