date,value,freq,unit,var,base,year,quarter,month,country
1969Q1,4764.662643644856,q,bclv,gdppot,2012,1969,1,3,US
1969Q2,4812.8323769353465,q,bclv,gdppot,2012,1969,2,6,US
1969Q3,4858.699890102087,q,bclv,gdppot,2012,1969,3,9,US
1969Q4,4902.547274636633,q,bclv,gdppot,2012,1969,4,12,US
1970Q1,4944.570917373433,q,bclv,gdppot,2012,1970,1,3,US
1970Q2,4984.706054574812,q,bclv,gdppot,2012,1970,2,6,US
1970Q3,5023.881095010563,q,bclv,gdppot,2012,1970,3,9,US
1970Q4,5063.002727040929,q,bclv,gdppot,2012,1970,4,12,US
1971Q1,5103.742331946926,q,bclv,gdppot,2012,1971,1,3,US
1971Q2,5147.139965316958,q,bclv,gdppot,2012,1971,2,6,US
1971Q3,5191.945860752081,q,bclv,gdppot,2012,1971,3,9,US
1971Q4,5236.834761937999,q,bclv,gdppot,2012,1971,4,12,US
1972Q1,5280.650703752864,q,bclv,gdppot,2012,1972,1,3,US
1972Q2,5322.359609574879,q,bclv,gdppot,2012,1972,2,6,US
1972Q3,5362.846900925278,q,bclv,gdppot,2012,1972,3,9,US
1972Q4,5403.296626892404,q,bclv,gdppot,2012,1972,4,12,US
1973Q1,5445.080448398243,q,bclv,gdppot,2012,1973,1,3,US
1973Q2,5490.156275786821,q,bclv,gdppot,2012,1973,2,6,US
1973Q3,5536.767214643019,q,bclv,gdppot,2012,1973,3,9,US
1973Q4,5584.998632919539,q,bclv,gdppot,2012,1973,4,12,US
1974Q1,5633.962033780534,q,bclv,gdppot,2012,1974,1,3,US
1974Q2,5682.995857790894,q,bclv,gdppot,2012,1974,2,6,US
1974Q3,5731.323108373978,q,bclv,gdppot,2012,1974,3,9,US
1974Q4,5779.018502141962,q,bclv,gdppot,2012,1974,4,12,US
1975Q1,5825.750697939189,q,bclv,gdppot,2012,1975,1,3,US
1975Q2,5871.953474831613,q,bclv,gdppot,2012,1975,2,6,US
1975Q3,5918.0178238889675,q,bclv,gdppot,2012,1975,3,9,US
1975Q4,5964.052745212353,q,bclv,gdppot,2012,1975,4,12,US
1976Q1,6009.552465013313,q,bclv,gdppot,2012,1976,1,3,US
1976Q2,6055.253356348844,q,bclv,gdppot,2012,1976,2,6,US
1976Q3,6101.8832615433985,q,bclv,gdppot,2012,1976,3,9,US
1976Q4,6149.124217671401,q,bclv,gdppot,2012,1976,4,12,US
1977Q1,6198.163575627065,q,bclv,gdppot,2012,1977,1,3,US
1977Q2,6248.784101671982,q,bclv,gdppot,2012,1977,2,6,US
1977Q3,6300.478848241783,q,bclv,gdppot,2012,1977,3,9,US
1977Q4,6353.6909666491965,q,bclv,gdppot,2012,1977,4,12,US
1978Q1,6408.206794781169,q,bclv,gdppot,2012,1978,1,3,US
1978Q2,6463.574433519718,q,bclv,gdppot,2012,1978,2,6,US
1978Q3,6520.347387896983,q,bclv,gdppot,2012,1978,3,9,US
1978Q4,6578.319103619513,q,bclv,gdppot,2012,1978,4,12,US
1979Q1,6638.290149418122,q,bclv,gdppot,2012,1979,1,3,US
1979Q2,6696.68272316832,q,bclv,gdppot,2012,1979,2,6,US
1979Q3,6752.285489075694,q,bclv,gdppot,2012,1979,3,9,US
1979Q4,6804.1067380585655,q,bclv,gdppot,2012,1979,4,12,US
1980Q1,6851.121673711023,q,bclv,gdppot,2012,1980,1,3,US
1980Q2,6892.435876906633,q,bclv,gdppot,2012,1980,2,6,US
1980Q3,6928.227680834112,q,bclv,gdppot,2012,1980,3,9,US
1980Q4,6965.6999404904345,q,bclv,gdppot,2012,1980,4,12,US
1981Q1,7007.250767362968,q,bclv,gdppot,2012,1981,1,3,US
1981Q2,7052.190668211957,q,bclv,gdppot,2012,1981,2,6,US
1981Q3,7099.88279285603,q,bclv,gdppot,2012,1981,3,9,US
1981Q4,7150.157580691385,q,bclv,gdppot,2012,1981,4,12,US
1982Q1,7202.119829638657,q,bclv,gdppot,2012,1982,1,3,US
1982Q2,7255.183995294227,q,bclv,gdppot,2012,1982,2,6,US
1982Q3,7309.422616864836,q,bclv,gdppot,2012,1982,3,9,US
1982Q4,7365.185869587598,q,bclv,gdppot,2012,1982,4,12,US
1983Q1,7421.653951173305,q,bclv,gdppot,2012,1983,1,3,US
1983Q2,7480.472230093471,q,bclv,gdppot,2012,1983,2,6,US
1983Q3,7541.467178919198,q,bclv,gdppot,2012,1983,3,9,US
1983Q4,7604.750139087021,q,bclv,gdppot,2012,1983,4,12,US
1984Q1,7689.93257556805,q,bclv,gdppot,2012,1984,1,3,US
1984Q2,7754.997657132242,q,bclv,gdppot,2012,1984,2,6,US
1984Q3,7820.894140213306,q,bclv,gdppot,2012,1984,3,9,US
1984Q4,7888.042521378798,q,bclv,gdppot,2012,1984,4,12,US
1985Q1,7956.504545548593,q,bclv,gdppot,2012,1985,1,3,US
1985Q2,8026.834224023925,q,bclv,gdppot,2012,1985,2,6,US
1985Q3,8098.280374124226,q,bclv,gdppot,2012,1985,3,9,US
1985Q4,8169.849868953755,q,bclv,gdppot,2012,1985,4,12,US
1986Q1,8240.693812704041,q,bclv,gdppot,2012,1986,1,3,US
1986Q2,8310.543566032746,q,bclv,gdppot,2012,1986,2,6,US
1986Q3,8379.630515469662,q,bclv,gdppot,2012,1986,3,9,US
1986Q4,8448.305367042978,q,bclv,gdppot,2012,1986,4,12,US
1987Q1,8516.488441483569,q,bclv,gdppot,2012,1987,1,3,US
1987Q2,8584.470542117304,q,bclv,gdppot,2012,1987,2,6,US
1987Q3,8652.04183510592,q,bclv,gdppot,2012,1987,3,9,US
1987Q4,8719.379291591176,q,bclv,gdppot,2012,1987,4,12,US
1988Q1,8785.47257621742,q,bclv,gdppot,2012,1988,1,3,US
1988Q2,8850.85345816897,q,bclv,gdppot,2012,1988,2,6,US
1988Q3,8916.201039525158,q,bclv,gdppot,2012,1988,3,9,US
1988Q4,8983.0721795921,q,bclv,gdppot,2012,1988,4,12,US
1989Q1,9052.633535447112,q,bclv,gdppot,2012,1989,1,3,US
1989Q2,9125.66266797223,q,bclv,gdppot,2012,1989,2,6,US
1989Q3,9200.50081835127,q,bclv,gdppot,2012,1989,3,9,US
1989Q4,9274.997843185982,q,bclv,gdppot,2012,1989,4,12,US
1990Q1,9346.287613219887,q,bclv,gdppot,2012,1990,1,3,US
1990Q2,9412.855081864423,q,bclv,gdppot,2012,1990,2,6,US
1990Q3,9474.692518706237,q,bclv,gdppot,2012,1990,3,9,US
1990Q4,9533.314454208728,q,bclv,gdppot,2012,1990,4,12,US
1991Q1,9590.449790609257,q,bclv,gdppot,2012,1991,1,3,US
1991Q2,9647.297300864144,q,bclv,gdppot,2012,1991,2,6,US
1991Q3,9704.421135125789,q,bclv,gdppot,2012,1991,3,9,US
1991Q4,9762.367345752224,q,bclv,gdppot,2012,1991,4,12,US
1992Q1,9821.262797030751,q,bclv,gdppot,2012,1992,1,3,US
1992Q2,9881.311432089982,q,bclv,gdppot,2012,1992,2,6,US
1992Q3,9943.077888876373,q,bclv,gdppot,2012,1992,3,9,US
1992Q4,10005.804374119869,q,bclv,gdppot,2012,1992,4,12,US
1993Q1,10069.375938957397,q,bclv,gdppot,2012,1993,1,3,US
1993Q2,10134.247379928634,q,bclv,gdppot,2012,1993,2,6,US
1993Q3,10199.773504117553,q,bclv,gdppot,2012,1993,3,9,US
1993Q4,10265.75327023326,q,bclv,gdppot,2012,1993,4,12,US
1994Q1,10331.882758632597,q,bclv,gdppot,2012,1994,1,3,US
1994Q2,10398.040744924045,q,bclv,gdppot,2012,1994,2,6,US
1994Q3,10464.78535121165,q,bclv,gdppot,2012,1994,3,9,US
1994Q4,10531.743892033921,q,bclv,gdppot,2012,1994,4,12,US
1995Q1,10598.58353203698,q,bclv,gdppot,2012,1995,1,3,US
1995Q2,10665.937313307559,q,bclv,gdppot,2012,1995,2,6,US
1995Q3,10734.000265086957,q,bclv,gdppot,2012,1995,3,9,US
1995Q4,10804.976210527435,q,bclv,gdppot,2012,1995,4,12,US
1996Q1,10879.309158135062,q,bclv,gdppot,2012,1996,1,3,US
1996Q2,10961.169452731983,q,bclv,gdppot,2012,1996,2,6,US
1996Q3,11050.502724170348,q,bclv,gdppot,2012,1996,3,9,US
1996Q4,11145.657938016473,q,bclv,gdppot,2012,1996,4,12,US
1997Q1,11244.924013707889,q,bclv,gdppot,2012,1997,1,3,US
1997Q2,11346.384007588204,q,bclv,gdppot,2012,1997,2,6,US
1997Q3,11450.56977814428,q,bclv,gdppot,2012,1997,3,9,US
1997Q4,11556.792999611987,q,bclv,gdppot,2012,1997,4,12,US
1998Q1,11664.98592206671,q,bclv,gdppot,2012,1998,1,3,US
1998Q2,11776.732056230408,q,bclv,gdppot,2012,1998,2,6,US
1998Q3,11892.757550134585,q,bclv,gdppot,2012,1998,3,9,US
1998Q4,12015.9197752012,q,bclv,gdppot,2012,1998,4,12,US
1999Q1,12149.437433957917,q,bclv,gdppot,2012,1999,1,3,US
1999Q2,12293.893433735091,q,bclv,gdppot,2012,1999,2,6,US
1999Q3,12445.48732618436,q,bclv,gdppot,2012,1999,3,9,US
1999Q4,12599.250240930047,q,bclv,gdppot,2012,1999,4,12,US
2000Q1,12748.604427256896,q,bclv,gdppot,2012,2000,1,3,US
2000Q2,12885.227740014008,q,bclv,gdppot,2012,2000,2,6,US
2000Q3,13008.444734694456,q,bclv,gdppot,2012,2000,3,9,US
2000Q4,13121.050175679842,q,bclv,gdppot,2012,2000,4,12,US
2001Q1,13226.241646532593,q,bclv,gdppot,2012,2001,1,3,US
2001Q2,13326.930082374527,q,bclv,gdppot,2012,2001,2,6,US
2001Q3,13424.350600872966,q,bclv,gdppot,2012,2001,3,9,US
2001Q4,13519.875636723984,q,bclv,gdppot,2012,2001,4,12,US
2002Q1,13614.639971708597,q,bclv,gdppot,2012,2002,1,3,US
2002Q2,13710.495613105191,q,bclv,gdppot,2012,2002,2,6,US
2002Q3,13806.648385198781,q,bclv,gdppot,2012,2002,3,9,US
2002Q4,13900.715185957715,q,bclv,gdppot,2012,2002,4,12,US
2003Q1,13990.858184698513,q,bclv,gdppot,2012,2003,1,3,US
2003Q2,14076.165745478664,q,bclv,gdppot,2012,2003,2,6,US
2003Q3,14157.509216894485,q,bclv,gdppot,2012,2003,3,9,US
2003Q4,14238.517253013664,q,bclv,gdppot,2012,2003,4,12,US
2004Q1,14322.502791066056,q,bclv,gdppot,2012,2004,1,3,US
2004Q2,14410.8959624635,q,bclv,gdppot,2012,2004,2,6,US
2004Q3,14503.812126025794,q,bclv,gdppot,2012,2004,3,9,US
2004Q4,14598.795559263024,q,bclv,gdppot,2012,2004,4,12,US
2005Q1,14691.630567970677,q,bclv,gdppot,2012,2005,1,3,US
2005Q2,14780.554324321318,q,bclv,gdppot,2012,2005,2,6,US
2005Q3,14867.469500169043,q,bclv,gdppot,2012,2005,3,9,US
2005Q4,14953.145978215569,q,bclv,gdppot,2012,2005,4,12,US
2006Q1,15038.784401538938,q,bclv,gdppot,2012,2006,1,3,US
2006Q2,15125.70609944048,q,bclv,gdppot,2012,2006,2,6,US
2006Q3,15210.655457394163,q,bclv,gdppot,2012,2006,3,9,US
2006Q4,15291.514446817528,q,bclv,gdppot,2012,2006,4,12,US
2007Q1,15370.111385287062,q,bclv,gdppot,2012,2007,1,3,US
2007Q2,15445.291294023184,q,bclv,gdppot,2012,2007,2,6,US
2007Q3,15518.272631980071,q,bclv,gdppot,2012,2007,3,9,US
2007Q4,15589.921197361013,q,bclv,gdppot,2012,2007,4,12,US
2008Q1,15661.437156749245,q,bclv,gdppot,2012,2008,1,3,US
2008Q2,15732.300738942007,q,bclv,gdppot,2012,2008,2,6,US
2008Q3,15801.953968118389,q,bclv,gdppot,2012,2008,3,9,US
2008Q4,15869.009828425491,q,bclv,gdppot,2012,2008,4,12,US
2009Q1,15931.698339042032,q,bclv,gdppot,2012,2009,1,3,US
2009Q2,15990.652965646705,q,bclv,gdppot,2012,2009,2,6,US
2009Q3,16045.761443179968,q,bclv,gdppot,2012,2009,3,9,US
2009Q4,16097.706572602689,q,bclv,gdppot,2012,2009,4,12,US
2010Q1,16147.438323183078,q,bclv,gdppot,2012,2010,1,3,US
2010Q2,16195.753429694438,q,bclv,gdppot,2012,2010,2,6,US
2010Q3,16246.535504548745,q,bclv,gdppot,2012,2010,3,9,US
2010Q4,16302.486211078603,q,bclv,gdppot,2012,2010,4,12,US
2011Q1,16367.132381095998,q,bclv,gdppot,2012,2011,1,3,US
2011Q2,16442.754569183016,q,bclv,gdppot,2012,2011,2,6,US
2011Q3,16526.001918934064,q,bclv,gdppot,2012,2011,3,9,US
2011Q4,16611.843559654808,q,bclv,gdppot,2012,2011,4,12,US
2012Q1,16695.71826814624,q,bclv,gdppot,2012,2012,1,3,US
2012Q2,16774.523795933143,q,bclv,gdppot,2012,2012,2,6,US
2012Q3,16848.88146421083,q,bclv,gdppot,2012,2012,3,9,US
2012Q4,16920.63961433729,q,bclv,gdppot,2012,2012,4,12,US
2013Q1,16992.089124728314,q,bclv,gdppot,2012,2013,1,3,US
2013Q2,17064.806343410528,q,bclv,gdppot,2012,2013,2,6,US
2013Q3,17138.9432580756,q,bclv,gdppot,2012,2013,3,9,US
2013Q4,17215.280885360622,q,bclv,gdppot,2012,2013,4,12,US
2014Q1,17294.032150633877,q,bclv,gdppot,2012,2014,1,3,US
2014Q2,17375.11498722821,q,bclv,gdppot,2012,2014,2,6,US
2014Q3,17459.27803988029,q,bclv,gdppot,2012,2014,3,9,US
2014Q4,17545.392812774753,q,bclv,gdppot,2012,2014,4,12,US
2015Q1,17632.92748544754,q,bclv,gdppot,2012,2015,1,3,US
2015Q2,17721.252648627276,q,bclv,gdppot,2012,2015,2,6,US
2015Q3,17808.326137715143,q,bclv,gdppot,2012,2015,3,9,US
2015Q4,17891.85267807862,q,bclv,gdppot,2012,2015,4,12,US
2016Q1,17970.540715490257,q,bclv,gdppot,2012,2016,1,3,US
2016Q2,18043.2209307772,q,bclv,gdppot,2012,2016,2,6,US
2016Q3,18112.571697664982,q,bclv,gdppot,2012,2016,3,9,US
2016Q4,18182.731376646527,q,bclv,gdppot,2012,2016,4,12,US
2017Q1,18258.023077229544,q,bclv,gdppot,2012,2017,1,3,US
2017Q2,18341.091296108643,q,bclv,gdppot,2012,2017,2,6,US
2017Q3,18431.69252573088,q,bclv,gdppot,2012,2017,3,9,US
2017Q4,18525.540534936423,q,bclv,gdppot,2012,2017,4,12,US
2018Q1,18619.201318607702,q,bclv,gdppot,2012,2018,1,3,US
2018Q2,18709.61826941311,q,bclv,gdppot,2012,2018,2,6,US
2018Q3,18797.95031837295,q,bclv,gdppot,2012,2018,3,9,US
2018Q4,18884.59789273424,q,bclv,gdppot,2012,2018,4,12,US
2019Q1,18971.80739529531,q,bclv,gdppot,2012,2019,1,3,US
2019Q2,19061.787613611326,q,bclv,gdppot,2012,2019,2,6,US
2019Q3,19154.50856247099,q,bclv,gdppot,2012,2019,3,9,US
2019Q4,19247.215239546244,q,bclv,gdppot,2012,2019,4,12,US
2020Q1,19336.519435838658,q,bclv,gdppot,2012,2020,1,3,US
2020Q2,19419.26635303663,q,bclv,gdppot,2012,2020,2,6,US
2020Q3,19490.371349662142,q,bclv,gdppot,2012,2020,3,9,US
2020Q4,19573.103807292042,q,bclv,gdppot,2012,2020,4,12,US
2021Q1,19661.61661658684,q,bclv,gdppot,2012,2021,1,3,US
2021Q2,19756.957425633358,q,bclv,gdppot,2012,2021,2,6,US
2021Q3,19856.923211019486,q,bclv,gdppot,2012,2021,3,9,US
2021Q4,19957.974447710763,q,bclv,gdppot,2012,2021,4,12,US
2022Q1,20057.88,q,bclv,gdppot,2012,2022,1,3,US
2022Q2,20153.81,q,bclv,gdppot,2012,2022,2,6,US
2022Q3,20245.66,q,bclv,gdppot,2012,2022,3,9,US
2022Q4,20334.21,q,bclv,gdppot,2012,2022,4,12,US
2023Q1,20420.68,q,bclv,gdppot,2012,2023,1,3,US
2023Q2,20511.89,q,bclv,gdppot,2012,2023,2,6,US
2023Q3,20603.7,q,bclv,gdppot,2012,2023,3,9,US
2023Q4,20693.38,q,bclv,gdppot,2012,2023,4,12,US
2024Q1,20782.72,q,bclv,gdppot,2012,2024,1,3,US
2024Q2,20871.91,q,bclv,gdppot,2012,2024,2,6,US
2024Q3,20961.73,q,bclv,gdppot,2012,2024,3,9,US
2024Q4,21052.3,q,bclv,gdppot,2012,2024,4,12,US
2025Q1,21143.69,q,bclv,gdppot,2012,2025,1,3,US
2025Q2,21235.79,q,bclv,gdppot,2012,2025,2,6,US
2025Q3,21329.03,q,bclv,gdppot,2012,2025,3,9,US
2025Q4,21423.29,q,bclv,gdppot,2012,2025,4,12,US
