date,value,freq,unit,var,base,year,quarter,month,country
2018Q1,2867.5542,q,beur,nominal_gdp,,2018,1,3,EA19
2018Q2,2892.663,q,beur,nominal_gdp,,2018,2,6,EA19
2018Q3,2905.6472000000003,q,beur,nominal_gdp,,2018,3,9,EA19
2018Q4,2937.5388,q,beur,nominal_gdp,,2018,4,12,EA19
2019Q1,2968.6513,q,beur,nominal_gdp,,2019,1,3,EA19
2019Q2,2987.7378,q,beur,nominal_gdp,,2019,2,6,EA19
2019Q3,3009.0143,q,beur,nominal_gdp,,2019,3,9,EA19
2019Q4,3026.5923,q,beur,nominal_gdp,,2019,4,12,EA19
2020Q1,2941.9745,q,beur,nominal_gdp,,2020,1,3,EA19
2020Q2,2640.2876,q,beur,nominal_gdp,,2020,2,6,EA19
2020Q3,2925.0375,q,beur,nominal_gdp,,2020,3,9,EA19
2020Q4,2944.1886,q,beur,nominal_gdp,,2020,4,12,EA19
2021Q1,2969.6541,q,beur,nominal_gdp,,2021,1,3,EA19
2021Q2,3036.5274,q,beur,nominal_gdp,,2021,2,6,EA19
2021Q3,3134.4188,q,beur,nominal_gdp,,2021,3,9,EA19
2021Q4,3182.2925,q,beur,nominal_gdp,,2021,4,12,EA19
2022Q1,3245.9495,q,beur,nominal_gdp,,2022,1,3,EA19
2022Q2,3311.6648999999998,q,beur,nominal_gdp,,2022,2,6,EA19
2022Q3,3356.8809,q,beur,nominal_gdp,,2022,3,9,EA19
2022Q4,3425.1042,q,beur,nominal_gdp,,2022,4,12,EA19
2023Q1,3484.7296,q,beur,nominal_gdp,,2023,1,3,EA19
